G-Status,ID,IP1,IP2,Fit,Relax
C,h0000,0,0.2,46452.35997,10000000
C,h0001,0,0.21,46452.35997,10000000
C,h0002,0,0.22,46452.35997,10000000
C,h0003,0,0.23,46452.35997,10000000
C,h0004,0,0.24,46452.35997,10000000
C,h0005,0,0.25,46452.35997,10000000
C,h0006,0,0.26,46452.35997,10000000
C,h0007,0,0.27,46452.35997,10000000
C,h0008,0,0.28,46452.35997,10000000
C,h0009,0,0.29,46452.35997,10000000
C,h0010,0,0.3,46452.35997,10000000
C,h0011,0,0.31,46452.35997,10000000
C,h0012,0,0.32,46452.35997,10000000
C,h0013,0,0.33,46452.35997,10000000
C,h0014,0,0.34,46452.35997,10000000
C,h0015,0,0.35,46452.35997,10000000
C,h0016,0,0.36,46452.35997,10000000
C,h0017,0,0.37,46452.35997,10000000
C,h0018,0,0.38,46452.35997,10000000
C,h0019,0,0.39,46452.35997,10000000
C,h0020,0,0.4,46452.35997,10000000
C,h0021,500,0.2,43272.29645,10000000
C,h0022,500,0.21,41741.88928,10000000
C,h0023,500,0.22,39773.81553,10000000
C,h0024,500,0.23,37342.48838,10000000
C,h0025,500,0.24,34447.18727,10000000
C,h0026,500,0.25,31115.67327,10000000
C,h0027,500,0.26,27406.13184,636499.2873
C,h0028,500,0.27,23407.4734,358396.3171
C,h0029,500,0.28,19238.18789,209505.8563
C,h0030,500,0.29,15044.06537,124368.4314
C,h0031,500,0.3,10995.15223,73610.19856
C,h0032,500,0.31,7282.320514,42693.52405
C,h0033,500,0.32,4113.794166,23771.77778
C,h0034,500,0.33,1711.916622,12331.56177
C,h0035,500,0.34,310.370987,5651.455689
C,h0036,500,0.35,151.989541,2035.022208
C,h0037,500,0.36,1487.220815,400.325689
C,h0038,500,0.37,4573.26542,45.643679
C,h0039,500,0.38,9673.84829,511.780641
C,h0040,500,0.39,17059.56507,1496.404083
C,h0041,500,0.4,27008.72274,2799.497305
C,h0042,1000,0.2,40206.7149,10000000
C,h0043,1000,0.21,37286.75108,10000000
C,h0044,1000,0.22,33620.0727,10000000
C,h0045,1000,0.23,29237.85055,787657.4048
C,h0046,1000,0.24,24253.22042,439953.2995
C,h0047,1000,0.25,18872.77947,253007.9542
C,h0048,1000,0.26,13403.09428,147061.1581
C,h0049,1000,0.27,8252.103406,85004.11839
C,h0050,1000,0.28,3925.889704,48043.44418
C,h0051,1000,0.29,1021.73977,25991.10048
C,h0052,1000,0.3,218.660887,13031.53997
C,h0053,1000,0.31,2266.596969,5713.932423
C,h0054,1000,0.32,7975.50398,1933.114708
C,h0055,1000,0.33,18205.26002,377.012634
C,h0056,1000,0.34,33857.14341,217.730054
C,h0057,1000,0.35,55867.35624,927.180579
C,h0058,1000,0.36,85202.83204,2166.745081
C,h0059,1000,0.37,122859.3651,3719.555236
C,h0060,1000,0.38,169861.9441,5447.117218
C,h0061,1000,0.39,227267.0667,7262.572939
C,h0062,1000,0.4,296166.7482,9112.236934
C,h0063,1500,0.2,37255.61533,10000000
C,h0064,1500,0.21,33086.94538,1278996.229
C,h0065,1500,0.22,27991.13147,688213.1661
C,h0066,1500,0.23,22138.44649,385038.5229
C,h0067,1500,0.24,15870.4594,219718.3467
C,h0068,1500,0.25,9723.678551,125743.4496
C,h0069,1500,0.26,4443.247294,71025.74356
C,h0070,1500,0.27,986.250014,38859.63633
C,h0071,1500,0.28,515.465431,20064.01374
C,h0072,1500,0.29,4385.383177,9366.734374
C,h0073,1500,0.3,14122.88593,3642.831423
C,h0074,1500,0.31,31405.18933,993.378521
C,h0075,1500,0.32,58037.48941,247.070866
C,h0076,1500,0.33,95932.39015,671.420794
C,h0077,1500,0.34,147092.6772,1805.358209
C,h0078,1500,0.35,213598.4601,3358.049857
C,h0079,1500,0.36,297599.1937,5146.57279
C,h0080,1500,0.37,401310.659,7056.831029
C,h0081,1500,0.38,527016.6474,9019.750839
C,h0082,1500,0.39,677074.8647,10993.87491
C,h0083,1500,0.4,853926.4365,12957.07526
C,h0084,2000,0.2,34418.99772,1495558.135
C,h0085,2000,0.21,29142.47217,792544.4362
C,h0086,2000,0.22,22886.99186,437345.1293
C,h0087,2000,0.23,16044.2762,246528.2563
C,h0088,2000,0.24,9298.90422,139594.7999
C,h0089,2000,0.25,3668.370545,78120.9695
C,h0090,2000,0.26,526.590871,42403.46225
C,h0091,2000,0.27,1609.913214,21752.32659
C,h0092,2000,0.28,9006.915063,10113.42924
C,h0093,2000,0.29,25134.99559,3940.201693
C,h0094,2000,0.3,52707.82736,1108.521147
C,h0095,2000,0.31,94698.0976,321.102111
C,h0096,2000,0.32,154299.7504,777.498324
C,h0097,2000,0.33,234893.307,1979.174746
C,h0098,2000,0.34,340016.9724,3615.151503
C,h0099,2000,0.35,473345.301,5492.484906
C,h0100,2000,0.36,638676.3056,7492.369226
C,h0101,2000,0.37,839927.1472,9542.932365
C,h0102,2000,0.38,1081137.958,11603.27836
C,h0103,2000,0.39,1366482.959,13651.23794
C,h0104,2000,0.4,1700287.787,15677.42702
C,h0105,2500,0.2,31696.86209,1053505.939
C,h0106,2500,0.21,25453.33145,569228.4816
C,h0107,2500,0.22,18307.65385,316292.5928
C,h0108,2500,0.23,10955.33968,177565.0366
C,h0109,2500,0.24,4538.554879,99102.23631
C,h0110,2500,0.25,706.855438,54013.37113
C,h0111,2500,0.26,1653.125017,28086.12338
C,h0112,2500,0.27,10123.09301,13445.08078
C,h0113,2500,0.28,29400.2386,5564.1704
C,h0114,2500,0.29,63270.577,1766.02178
C,h0115,2500,0.3,115973.4852,450.530296
C,h0116,2500,0.31,192145.3218,634.832371
C,h0117,2500,0.32,296762.2871,1714.627903
C,h0118,2500,0.33,435088.0106,3316.362537
C,h0119,2500,0.34,612630.0291,5209.879166
C,h0120,2500,0.35,835107.879,7254.289931
C,h0121,2500,0.36,1108434.168,9364.718126
C,h0122,2500,0.37,1438708.83,11492.73903
C,h0123,2500,0.38,1832225.877,13611.96382
C,h0124,2500,0.39,2295491.35,15710.77138
C,h0125,2500,0.4,2835250.801,17784.7623
C,h0126,3000,0.2,29089.20843,810845.5839
C,h0127,3000,0.21,22019.52323,441918.5249
C,h0128,3000,0.22,14253.11746,245500.3287
C,h0129,3000,0.23,6871.636918,136714.1909
C,h0130,3000,0.24,1589.411375,75041.37639
C,h0131,3000,0.25,839.133231,39780.17172
C,h0132,3000,0.26,7822.849732,19786.57879
C,h0133,3000,0.27,26525.78939,8804.745922
C,h0134,3000,0.28,61695.43604,3211.517166
C,h0135,3000,0.29,118792.1274,863.433663
C,h0136,3000,0.3,203919.8594,468.88599
C,h0137,3000,0.31,323746.8619,1240.171254
C,h0138,3000,0.32,485425.0994,2694.758263
C,h0139,3000,0.33,696516.501,4536.435076
C,h0140,3000,0.34,964931.8471,6584.634102
C,h0141,3000,0.35,1298886.194,8730.399029
C,h0142,3000,0.36,1706872.781,10910.82353
C,h0143,3000,0.37,2197655.706,13090.91592
C,h0144,3000,0.38,2780280.402,15254.07918
C,h0145,3000,0.39,3464100.038,17393.13598
C,h0146,3000,0.4,4258815.478,19509.13151
C,h0147,3500,0.2,26596.03675,658167.4215
C,h0148,3500,0.21,18841.0475,359904.7567
C,h0149,3500,0.22,10723.38267,199277.2811
C,h0150,3500,0.23,3793.167925,109895.7015
C,h0151,3500,0.24,451.473709,59275.35303
C,h0152,3500,0.25,4065.203923,30547.35746
C,h0153,3500,0.26,19035.76502,14518.37307
C,h0154,3500,0.27,50818.00237,5985.724562
C,h0155,3500,0.28,105892.5074,1926.42044
C,h0156,3500,0.29,191699.6468,545.768376
C,h0157,3500,0.3,316546.95,764.2179
C,h0158,3500,0.31,489502.7179,1924.965771
C,h0159,3500,0.32,720288.1872,3627.423812
C,h0160,3500,0.33,1019178.778,5627.512672
C,h0161,3500,0.34,1396922.427,7778.677478
C,h0162,3500,0.35,1864680.247,9993.777131
C,h0163,3500,0.36,2433992.144,12223.98748
C,h0164,3500,0.37,3116767.777,14443.82453
C,h0165,3500,0.38,3925301.536,16642.67118
C,h0166,3500,0.39,4872309.022,18817.41271
C,h0167,3500,0.4,5970981.817,20971.63911
C,h0168,4000,0.2,24217.34704,553462.2313
C,h0169,4000,0.21,15917.90426,302774.4863
C,h0170,4000,0.22,7718.449493,166836.2577
C,h0171,4000,0.23,1719.932699,91039.08276
C,h0172,4000,0.24,1124.74188,48237.72049
C,h0173,4000,0.25,10385.06752,24161.59225
C,h0174,4000,0.26,35291.87087,10963.63022
C,h0175,4000,0.27,82999.73197,4180.969284
C,h0176,4000,0.28,161991.4526,1215.452687
C,h0177,4000,0.29,281993.1353,523.957028
C,h0178,4000,0.3,453854.757,1177.641007
C,h0179,4000,0.31,689412.8897,2613.889256
C,h0180,4000,0.32,1001351.551,4491.487404
C,h0181,4000,0.33,1403074.842,6604.252932
C,h0182,4000,0.34,1908601.767,8829.054295
C,h0183,4000,0.35,2532490.036,11095.31914
C,h0184,4000,0.36,3289792.257,13364.1664
C,h0185,4000,0.37,4196045.042,15617.21691
C,h0186,4000,0.38,5267289.277,17846.77588
C,h0187,4000,0.39,6520118.302,20054.01214
C,h0188,4000,0.4,7971749.819,22243.51515
C,h0189,4500,0.2,21953.13931,477222.4828
C,h0190,4500,0.21,13250.09352,260769.5384
C,h0191,4500,0.22,5238.317925,144000.3636
C,h0192,4500,0.23,651.931239,77119.6496
C,h0193,4500,0.24,3609.21589,40139.07387
C,h0194,4500,0.25,19798.72401,19538.976
C,h0195,4500,0.26,56591.16729,8457.935063
C,h0196,4500,0.27,123070.9781,2986.091755
C,h0197,4500,0.28,229992.2718,838.643643
C,h0198,4500,0.29,389672.5927,660.853893
C,h0199,4500,0.3,615843.2803,1638.2611
C,h0200,4500,0.31,923477.3776,3279.22446
C,h0201,4500,0.32,1328615.19,5286.728278
C,h0202,4500,0.33,1848204.692,7483.42816
C,h0203,4500,0.34,2499969.87,9764.406465
C,h0204,4500,0.35,3302315.562,12070.72988
C,h0205,4500,0.36,4274273.121,14371.83714
C,h0206,4500,0.37,5435487.501,16652.75241
C,h0207,4500,0.38,6806243.625,18910.51166
C,h0208,4500,0.39,8407527.879,21147.78701
C,h0209,4500,0.4,10000000,23370.44766
C,h0210,5000,0.2,19803.41354,419267.1471
C,h0211,5000,0.21,10837.61527,228630.5523
C,h0212,5000,0.22,3282.987966,124495.5664
C,h0213,5000,0.23,589.163545,66460.66299
C,h0214,5000,0.24,7904.895737,33980.31019
C,h0215,5000,0.25,32306.1734,16073.31978
C,h0216,5000,0.26,82933.65428,6636.031713
C,h0217,5000,0.27,171031.7409,2180.045728
C,h0218,5000,0.28,309894.9649,673.250084
C,h0219,5000,0.29,514738.0191,885.377315
C,h0220,5000,0.3,802512.5201,2112.418714
C,h0221,5000,0.31,1191696.181,3910.941195
C,h0222,5000,0.32,1702079.105,6019.049416
C,h0223,5000,0.33,2354568.33,8280.756992
C,h0224,5000,0.34,3171026.733,10606.23626
C,h0225,5000,0.35,4174156.826,12945.46613
C,h0226,5000,0.36,5387434.736,15273.78773
C,h0227,5000,0.37,6835095.155,17580.12299
C,h0228,5000,0.38,8542164.581,19863.9996
C,h0229,5000,0.39,10000000,22129.36673
C,h0230,5000,0.4,10000000,24383.31847
C,h0231,5500,0.2,17768.16975,373769.333
C,h0232,5500,0.21,8680.469514,203260.5179
C,h0233,5500,0.22,1852.459617,109964.0095
C,h0234,5500,0.23,1531.629617,58055.69182
C,h0235,5500,0.24,14011.78142,29161.20435
C,h0236,5500,0.25,47907.41569,13404.73408
C,h0237,5500,0.26,114319.3318,5278.890333
C,h0238,5500,0.27,226882.0203,1632.644155
C,h0239,5500,0.28,401699.5318,623.610026
C,h0240,5500,0.29,657189.4146,1158.434326
C,h0241,5500,0.3,1013862.476,2583.582503
C,h0242,5500,0.31,1494069.301,4506.916806
C,h0243,5500,0.32,2121743.295,6694.823519
C,h0244,5500,0.33,2922165.754,9009.052773
C,h0245,5500,0.34,3921772.358,11371.00722
C,h0246,5500,0.35,5148013.827,13556.57166
C,h0247,5500,0.36,6629277.1,16090.56051
C,h0248,5500,0.37,8394868.003,18420.1522
C,h0249,5500,0.38,10000000,20728.37665
C,h0250,5500,0.39,10000000,23020.39465
C,h0251,5500,0.4,10000000,25304.01834
C,h0252,6000,0.2,15847.40794,337086.9954
C,h0253,6000,0.21,6778.656253,182729.8854
C,h0254,6000,0.22,946.732876,98211.36985
C,h0255,6000,0.23,3479.329456,51282.41577
C,h0256,6000,0.24,21929.87296,25308.41543
C,h0257,6000,0.25,66602.45088,11304.16959
C,h0258,6000,0.26,150748.2,4249.763193
C,h0259,6000,0.27,290621.8162,1264.302562
C,h0260,6000,0.28,505405.9727,665.994974
C,h0261,6000,0.29,817026.779,1457.303981
C,h0262,6000,0.3,1249893.149,3043.225529
C,h0263,6000,0.31,1830596.736,5044.833337
C,h0264,6000,0.32,2587607.761,7321.013218
C,h0265,6000,0.33,3550996.965,9678.538437
C,h0266,6000,0.34,4752206.745,12071.33508
C,h0267,6000,0.35,6223886.565,14463.3647
C,h0268,6000,0.36,7999800.215,16837.01124
C,h0269,6000,0.37,10000000,19188.20531
C,h0270,6000,0.38,10000000,21519.41696
C,h0271,6000,0.39,10000000,23836.76801
C,h0272,6000,0.4,10000000,26148.63384
C,h0273,6500,0.2,14041.12809,306878.1149
C,h0274,6500,0.21,5132.175485,165791.4241
C,h0275,6500,0.22,565.807745,88516.03567
C,h0276,6500,0.23,6432.26306,45715.67461
C,h0277,6500,0.24,31659.17033,22169.31042
C,h0278,6500,0.25,88391.27896,9623.600801
C,h0279,6500,0.26,192220.2586,3459.005807
C,h0280,6500,0.27,362251.1288,1022.44529
C,h0281,6500,0.28,621014.2875,764.84367
C,h0282,6500,0.29,994250.1125,1768.586712
C,h0283,6500,0.3,1510604.538,3487.543838
C,h0284,6500,0.31,2201278.488,5596.660727
C,h0285,6500,0.32,3099672.502,7903.57862
C,h0286,6500,0.33,4241061.962,10297.63632
C,h0287,6500,0.34,5662329.892,12717.07125
C,h0288,6500,0.35,7401775.04,15130.80109
C,h0289,6500,0.36,9499004.081,17524.4424
C,h0290,6500,0.37,10000000,19896.01277
C,h0291,6500,0.38,10000000,22248.97866
C,h0292,6500,0.39,10000000,24590.50868
C,h0293,6500,0.4,10000000,26929.64068
C,h0294,7000,0.2,12349.33022,281598.2632
C,h0295,7000,0.21,3741.027211,151585.3921
C,h0296,7000,0.22,709.684223,80392.97169
C,h0297,7000,0.23,10390.43043,41071.37105
C,h0298,7000,0.24,43199.67354,19573.14363
C,h0299,7000,0.25,113273.9,8258.948189
C,h0300,7000,0.26,238735.5079,2845.069319
C,h0301,7000,0.27,441769.9579,872.124426
C,h0302,7000,0.28,748524.4762,901.657082
C,h0303,7000,0.29,1188859.415,2084.086371
C,h0304,7000,0.3,1795996.643,3914.911638
C,h0305,7000,0.31,2606114.555,6094.815126
C,h0306,7000,0.32,3657937.52,8447.681859
C,h0307,7000,0.33,4992360.746,10873.14702
C,h0308,7000,0.34,6652141.802,13316.53192
C,h0309,7000,0.35,8681679.252,15749.41664
C,h0310,7000,0.36,10000000,18161.65402
C,h0311,7000,0.37,10000000,20552.42256
C,h0312,7000,0.38,10000000,22926.24755
C,h0313,7000,0.39,10000000,25290.92885
C,h0314,7000,0.4,10000000,27655.85756
C,h0315,7500,0.2,10772.01433,260117.9424
C,h0316,7500,0.21,2605.211431,139495.4859
C,h0317,7500,0.22,1378.362311,73487.2936
C,h0318,7500,0.23,15353.83157,37141.35998
C,h0319,7500,0.24,56551.38258,17397.83913
C,h0320,7500,0.25,141250.3138,7137.642989
C,h0321,7500,0.26,290293.9477,2366.66594
C,h0322,7500,0.27,529178.3037,789.389968
C,h0323,7500,0.28,887936.5388,1063.933905
C,h0324,7500,0.29,1400854.686,2398.875
C,h0325,7500,0.3,2106069.465,4324.946819
C,h0326,7500,0.31,3045104.938,6565.33452
C,h0327,7500,0.32,4262402.812,8957.799038
C,h0328,7500,0.33,5804893.317,11410.64436
C,h0329,7500,0.34,7721642.472,13874.96726
C,h0330,7500,0.35,10000000,16325.92392
C,h0331,7500,0.36,10000000,18755.61974
C,h0332,7500,0.37,10000000,21164.66772
C,h0333,7500,0.38,10000000,23558.48296
C,h0334,7500,0.39,10000000,25945.39123
C,h0335,7500,0.4,10000000,28335.06386
C,h0336,8000,0.2,9309.180403,241643.6582
C,h0337,8000,0.21,1724.728145,129095.7798
C,h0338,8000,0.22,2571.842007,67559.04458
C,h0339,8000,0.23,21322.46647,33782.31618
C,h0340,8000,0.24,71714.29746,15553.63574
C,h0341,8000,0.25,172320.5206,6207.144382
C,h0342,8000,0.26,346895.5781,1992.393528
C,h0343,8000,0.27,624476.166,757.123967
C,h0344,8000,0.28,1039250.475,1243.204412
C,h0345,8000,0.29,1630235.927,2709.593301
C,h0346,8000,0.3,2440823.003,4718.206871
C,h0347,8000,0.31,3518249.638,7010.650546
C,h0348,8000,0.32,4913068.381,9437.596141
C,h0349,8000,0.33,6678659.675,11914.73679
C,h0350,8000,0.34,8870831.904,14398.02285
C,h0351,8000,0.35,10000000,16865.74753
C,h0352,8000,0.36,10000000,19312.04887
C,h0353,8000,0.37,10000000,21738.49174
C,h0354,8000,0.38,10000000,24151.52158
C,h0355,8000,0.39,10000000,26560.11847
C,h0356,8000,0.4,10000000,28973.27513
C,h0357,8500,0.2,7960.828452,225575.3196
C,h0358,8500,0.21,1099.577352,120052.803
C,h0359,8500,0.22,4290.123312,62413.85361
C,h0360,8500,0.23,28296.33514,30880.93595
C,h0361,8500,0.24,88688.41818,13977.7166
C,h0362,8500,0.25,206484.5203,5428.561824
C,h0363,8500,0.26,408540.3991,1699.764749
C,h0364,8500,0.27,727663.5449,763.020459
C,h0365,8500,0.28,1202466.286,1433.544406
C,h0366,8500,0.29,1877003.136,3014.462576
C,h0367,8500,0.3,2800257.257,5094.78965
C,h0368,8500,0.31,4025548.653,7432.999908
C,h0369,8500,0.32,5609934.225,9890.359532
C,h0370,8500,0.33,7613659.819,12389.26844
C,h0371,8500,0.34,10000000,14889.91822
C,h0372,8500,0.35,10000000,17373.33788
C,h0373,8500,0.36,10000000,19835.3487
C,h0374,8500,0.37,10000000,22278.5823
C,h0375,8500,0.38,10000000,24710.12672
C,h0376,8500,0.39,10000000,27139.32703
C,h0377,8500,0.4,10000000,29575.40229
C,h0378,9000,0.2,6726.958475,211487.4109
C,h0379,9000,0.21,729.759052,112116.4984
C,h0380,9000,0.22,6533.206227,57907.22293
C,h0381,9000,0.23,36275.43758,28352.86393
C,h0382,9000,0.24,107473.7447,12618.73191
C,h0383,9000,0.25,243742.3129,4772.552739
C,h0384,9000,0.26,475228.4106,1471.958255
C,h0385,9000,0.27,838740.4404,798.028845
C,h0386,9000,0.28,1377583.97,1630.774358
C,h0387,9000,0.29,2141156.315,3312.364543
C,h0388,9000,0.3,3184372.228,5455.777816
C,h0389,9000,0.31,4567001.984,7834.400681
C,h0390,9000,0.32,6353000.344,10318.85957
